Date,secucode,open,high,low,close,volume,amount,change,change_ratio,Newsnum_Title_news1,Newsnum_Cont_news1,Posnews_All_news1,Neunews_All_news1,Negnews_All_news1,Posnews_Ori_news1,Neunews_Ori_news1,Negnews_Ori_news1,Newsnum_Title_news2,Newsnum_Cont_news2,Posnews_All_news2,Neunews_All_news2,Negnews_All_news2,Posnews_Ori_news2,Neunews_Ori_news2,Negnews_Ori_news2
2023-08-24,000069,4.41,4.43,4.33,4.34,264751,115594512.0,-0.07,-1.5873015873015872,,,,,,,,,2,4,0,0,4,0,0,2
2023-08-25,000069,4.34,4.43,4.31,4.36,341721,149333040.0,0.02,0.4608294930875576,0,4,3,0,1,3,0,1,0,1,1,0,0,1,0,0
2023-08-28,000069,4.61,4.66,4.49,4.52,784640,358776448.0,0.16,3.669724770642202,,,,,,,,,,,,,,,,
2023-08-29,000069,4.48,4.59,4.43,4.58,669779,303759136.0,0.06,1.327433628318584,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0
2023-08-30,000069,4.58,4.59,4.5,4.52,392953,178048480.0,-0.06,-1.310043668122271,,,,,,,,,0,3,1,1,1,0,0,1
2023-08-31,000069,4.52,4.54,4.35,4.35,581878,256567024.0,-0.17,-3.761061946902655,,,,,,,,,0,1,0,0,1,0,0,0
2023-09-01,000069,4.42,4.43,4.37,4.4,303882,133872992.0,0.05,1.1494252873563218,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
2023-09-04,000069,4.44,4.51,4.43,4.46,306830,137045072.0,0.06,1.3636363636363635,0,1,1,0,0,1,0,0,0,3,0,3,0,0,1,0
2023-09-05,000069,4.46,4.46,4.37,4.37,293911,128984456.0,-0.09,-2.0179372197309418,,,,,,,,,0,5,3,0,2,1,0,1
2023-09-06,000069,4.38,4.45,4.34,4.41,278313,122343792.0,0.04,0.9153318077803204,,,,,,,,,,,,,,,,
2023-09-07,000069,4.41,4.47,4.39,4.39,312314,138375856.0,-0.02,-0.4535147392290249,0,1,1,0,0,1,0,0,,,,,,,,
2023-09-08,000069,4.38,4.39,4.33,4.37,215935,94067192.0,-0.02,-0.4555808656036446,0,1,1,0,0,1,0,0,0,3,1,1,1,1,0,1
2023-09-11,000069,4.39,4.39,4.33,4.38,279988,122137872.0,0.01,0.2288329519450801,,,,,,,,,0,1,0,0,1,0,0,1
2023-09-12,000069,4.36,4.4,4.35,4.37,200184,87508296.0,-0.01,-0.228310502283105,,,,,,,,,,,,,,,,
2023-09-13,000069,4.37,4.43,4.35,4.38,276555,121261536.0,0.01,0.2288329519450801,,,,,,,,,,,,,,,,
2023-09-14,000069,4.37,4.39,4.33,4.35,246098,107162528.0,-0.03,-0.684931506849315,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0
2023-09-15,000069,4.37,4.39,4.33,4.35,224355,97820040.0,0.0,0.0,,,,,,,,,,,,,,,,
2023-09-18,000069,4.34,4.35,4.27,4.31,361922,155924752.0,-0.04,-0.9195402298850576,,,,,,,,,0,2,1,1,0,1,1,0
2023-09-19,000069,4.3,4.32,4.28,4.29,195866,84163016.0,-0.02,-0.4640371229698375,0,1,0,1,0,0,1,0,0,3,2,1,0,2,0,0
2023-09-20,000069,4.28,4.33,4.26,4.3,168518,72514784.0,0.01,0.2331002331002331,,,,,,,,,,,,,,,,
2023-09-21,000069,4.29,4.34,4.27,4.27,211145,90823264.0,-0.03,-0.6976744186046512,,,,,,,,,,,,,,,,
