Date,secucode,open,high,low,close,volume,amount,change,change_ratio
2020-05-08,600016,5.82,5.85,5.81,5.84,571685,333269088,0.04,0.6896551724137931
2020-05-11,600016,5.83,5.87,5.82,5.82,488285,285033856,-0.02,-0.3424657534246575
2020-05-12,600016,5.82,5.84,5.78,5.79,520360,302260224,-0.03,-0.5154639175257731
2020-05-13,600016,5.78,5.8,5.76,5.79,457459,264601808,0.0,0.0
2020-05-14,600016,5.78,5.78,5.76,5.77,446475,257553840,-0.02,-0.3454231433506045
2020-05-15,600016,5.78,5.8,5.75,5.76,427684,247068944,-0.01,-0.1733102253032928
2020-05-18,600016,5.77,5.81,5.76,5.78,390329,225904176,0.02,0.3472222222222222
2020-05-19,600016,5.82,5.82,5.78,5.8,367469,212946400,0.02,0.3460207612456747
2020-05-20,600016,5.79,5.82,5.78,5.8,420340,243665568,0.0,0.0
2020-05-21,600016,5.82,5.82,5.76,5.76,322998,186940240,-0.04,-0.6896551724137931
2020-05-22,600016,5.76,5.77,5.67,5.68,706772,404349920,-0.08,-1.3888888888888888
2020-05-25,600016,5.72,5.72,5.67,5.7,350017,199222144,0.02,0.352112676056338
2020-05-26,600016,5.71,5.72,5.69,5.7,397824,226850336,0.0,0.0
2020-05-27,600016,5.7,5.74,5.69,5.71,445018,254513888,0.01,0.175438596491228
2020-05-28,600016,5.72,5.79,5.71,5.76,509347,293112000,0.05,0.8756567425569177
2020-05-29,600016,5.74,5.76,5.69,5.69,485929,278231808,-0.07,-1.215277777777778
2020-06-01,600016,5.72,5.77,5.72,5.76,554248,318940672,0.07,1.2302284710017577
2020-06-02,600016,5.75,5.8,5.74,5.78,590650,340941568,0.02,0.3472222222222222
2020-06-03,600016,5.8,5.84,5.77,5.77,668742,387900544,-0.01,-0.1730103806228373
2020-06-04,600016,5.81,5.81,5.73,5.74,538062,309604544,-0.03,-0.5199306759098787
2020-06-05,600016,5.75,5.76,5.73,5.76,375239,215585584,0.02,0.3484320557491289
2020-06-08,600016,5.76,5.78,5.75,5.75,563113,324472928,-0.01,-0.1736111111111111
2020-06-09,600016,5.75,5.8,5.74,5.78,699174,403376704,0.03,0.5217391304347827
2020-06-10,600016,5.78,5.79,5.74,5.74,608993,350358144,-0.04,-0.6920415224913495
2020-06-11,600016,5.74,5.75,5.68,5.69,932174,532232096,-0.05,-0.8710801393728222
2020-06-12,600016,5.66,5.69,5.65,5.68,1159369,657097664,-0.01,-0.1757469244288224
2020-06-15,600016,5.66,5.66,5.61,5.62,1095841,617242496,-0.06,-1.056338028169014
2020-06-16,600016,5.65,5.66,5.63,5.65,547198,308838336,0.03,0.5338078291814947
2020-06-17,600016,5.64,5.66,5.63,5.65,422279,238257056,0.0,0.0
2020-06-18,600016,5.64,5.67,5.61,5.64,618720,349205408,-0.01,-0.1769911504424778
2020-06-19,600016,5.65,5.7,5.64,5.67,914031,518087904,0.03,0.5319148936170213
2020-06-22,600016,5.67,5.7,5.66,5.67,685108,389180192,0.0,0.0
2020-06-23,600016,5.66,5.67,5.64,5.65,519848,293801024,-0.02,-0.3527336860670194
2020-06-24,600016,5.66,5.69,5.66,5.67,586177,332573856,0.02,0.3539823008849557
2020-06-29,600016,5.69,5.71,5.64,5.66,770233,436721120,-0.01,-0.1763668430335097
2020-06-30,600016,5.67,5.69,5.66,5.67,540205,306491488,0.01,0.1766784452296819
2020-07-01,600016,5.68,5.76,5.66,5.75,1080183,617094592,0.08,1.4109347442680775
2020-07-02,600016,5.74,5.86,5.73,5.86,1686338,977992128,0.11,1.9130434782608687
2020-07-03,600016,5.86,5.96,5.86,5.94,1887246,1116860800,0.08,1.3651877133105803
2020-07-06,600016,5.99,6.47,5.99,6.44,5375443,3351035648,0.5,8.417508417508419
2020-07-07,600016,6.53,6.72,6.4,6.52,4834736,3153091072,0.08,1.2422360248447204
2020-07-08,600016,6.51,6.6,6.48,6.52,3342763,2186538240,0.0,0.0
2020-07-09,600016,6.51,6.53,6.42,6.44,2639045,1704474240,-0.08,-1.2269938650306749
2020-07-10,600016,6.43,6.46,6.25,6.27,3108278,1969370112,-0.17,-2.639751552795031
2020-07-13,600016,5.9,5.93,5.8,5.85,3096030,1813312128,-0.42,-6.698564593301436
2020-07-14,600016,5.83,5.86,5.7,5.74,2306648,1333564032,-0.11,-1.8803418803418803
2020-07-15,600016,5.77,5.79,5.64,5.65,2078489,1184628864,-0.09,-1.56794425087108
2020-07-16,600016,5.68,5.73,5.61,5.62,2005732,1136685824,-0.03,-0.5309734513274336
2020-07-17,600016,5.65,5.67,5.57,5.6,1365307,765413056,-0.02,-0.3558718861209964
2020-07-20,600016,5.61,5.73,5.6,5.7,1856355,1053327488,0.1,1.7857142857142856
2020-07-21,600016,5.72,5.72,5.64,5.66,1141722,647572352,-0.04,-0.7017543859649122
2020-07-22,600016,5.67,5.72,5.63,5.64,1487994,843785728,-0.02,-0.3533568904593639
2020-07-23,600016,5.62,5.66,5.55,5.61,1318017,737877632,-0.03,-0.5319148936170213
2020-07-24,600016,5.6,5.61,5.5,5.52,1585195,879661632,-0.09,-1.6042780748663104
2020-07-27,600016,5.56,5.56,5.5,5.52,941947,520331776,0.0,0.0
2020-07-28,600016,5.54,5.57,5.52,5.53,771964,427601056,0.01,0.181159420289855
2020-07-29,600016,5.53,5.6,5.52,5.59,1012069,563911232,0.06,1.08499095840868
2020-07-30,600016,5.6,5.6,5.54,5.54,859561,477992736,-0.05,-0.8944543828264758
2020-07-31,600016,5.54,5.59,5.5,5.54,1235051,684142592,0.0,0.0
2020-08-03,600016,5.56,5.58,5.54,5.56,1358751,755197440,0.02,0.3610108303249097
2020-08-04,600016,5.58,5.67,5.56,5.65,1932114,1086363008,0.09,1.618705035971223
2020-08-05,600016,5.65,5.65,5.56,5.59,1068093,597477120,-0.06,-1.0619469026548671
2020-08-06,600016,5.6,5.63,5.55,5.6,1009447,563692352,0.01,0.1788908765652951
2020-08-07,600016,5.6,5.6,5.54,5.56,1003716,558453376,-0.04,-0.7142857142857143
2020-08-10,600016,5.57,5.61,5.55,5.6,1071376,598775552,0.04,0.7194244604316548
2020-08-11,600016,5.59,5.67,5.57,5.58,1409945,794221760,-0.02,-0.3571428571428571
2020-08-12,600016,5.58,5.62,5.56,5.62,1138430,636322112,0.04,0.7168458781362007
2020-08-13,600016,5.63,5.63,5.59,5.59,657580,368452000,-0.03,-0.5338078291814947
2020-08-14,600016,5.59,5.64,5.58,5.63,954080,535168864,0.04,0.7155635062611807
2020-08-17,600016,5.63,5.78,5.63,5.72,2782893,1590993280,0.09,1.5985790408525755
2020-08-18,600016,5.73,5.74,5.66,5.68,1287489,732534144,-0.04,-0.6993006993006993
2020-08-19,600016,5.69,5.69,5.63,5.63,1093899,619188864,-0.05,-0.8802816901408451
2020-08-20,600016,5.63,5.63,5.58,5.59,1026068,573907328,-0.04,-0.7104795737122558
2020-08-21,600016,5.6,5.61,5.57,5.6,835021,466866048,0.01,0.1788908765652951
2020-08-24,600016,5.61,5.62,5.58,5.58,719883,402808672,-0.02,-0.3571428571428571
2020-08-25,600016,5.59,5.61,5.55,5.56,812614,453182496,-0.02,-0.3584229390681003
2020-08-26,600016,5.57,5.58,5.53,5.53,818169,453775808,-0.03,-0.539568345323741
2020-08-27,600016,5.54,5.55,5.51,5.53,724415,400453216,0.0,0.0
2020-08-28,600016,5.52,5.59,5.51,5.59,1100444,611626688,0.06,1.08499095840868
2020-08-31,600016,5.58,5.62,5.53,5.55,1604999,895789184,-0.04,-0.7155635062611807
2020-09-01,600016,5.53,5.58,5.52,5.56,1085623,602581120,0.01,0.1801801801801801
2020-09-02,600016,5.55,5.56,5.51,5.53,1022546,565657600,-0.03,-0.539568345323741
2020-09-03,600016,5.54,5.56,5.52,5.53,747635,413754816,0.0,0.0
2020-09-04,600016,5.52,5.53,5.5,5.52,943611,519877504,-0.01,-0.1808318264014466
2020-09-07,600016,5.5,5.52,5.47,5.48,931514,512655744,-0.04,-0.7246376811594203
2020-09-08,600016,5.49,5.52,5.48,5.51,829585,456691712,0.03,0.5474452554744526
2020-09-09,600016,5.5,5.51,5.48,5.48,862682,474103584,-0.03,-0.5444646098003629
2020-09-10,600016,5.5,5.5,5.45,5.47,901402,493064064,-0.01,-0.1824817518248175
2020-09-11,600016,5.46,5.47,5.44,5.46,607478,331312160,-0.01,-0.1828153564899451
2020-09-14,600016,5.45,5.47,5.44,5.45,512513,279535968,-0.01,-0.1831501831501831
2020-09-15,600016,5.45,5.46,5.44,5.45,470882,256695024,0.0,0.0
2020-09-16,600016,5.46,5.48,5.44,5.47,540984,295430144,0.02,0.3669724770642202
2020-09-17,600016,5.46,5.47,5.44,5.44,599520,326664704,-0.03,-0.5484460694698354
2020-09-18,600016,5.45,5.5,5.43,5.5,1093999,598946496,0.06,1.1029411764705883
2020-09-21,600016,5.5,5.51,5.45,5.45,648483,354877312,-0.05,-0.9090909090909092
2020-09-22,600016,5.44,5.47,5.41,5.42,784337,426473280,-0.03,-0.5504587155963303
2020-09-23,600016,5.42,5.43,5.4,5.41,640376,346479712,-0.01,-0.1845018450184501
2020-09-24,600016,5.41,5.41,5.35,5.37,687860,368969312,-0.04,-0.7393715341959335
2020-09-25,600016,5.36,5.37,5.29,5.31,842978,448966784,-0.06,-1.11731843575419
