Date,secucode,open,high,low,close,volume,amount,change,change_ratio,Newsnum_Title_news1,Newsnum_Cont_news1,Posnews_All_news1,Neunews_All_news1,Negnews_All_news1,Posnews_Ori_news1,Neunews_Ori_news1,Negnews_Ori_news1,Newsnum_Title_news2,Newsnum_Cont_news2,Posnews_All_news2,Neunews_All_news2,Negnews_All_news2,Posnews_Ori_news2,Neunews_Ori_news2,Negnews_Ori_news2
2020-09-28,000596,218.0,221.0,215.0,216.93,14693,319080544.0,-0.29,-0.1335052020992542,,,,,,,,,0,7,7,0,0,1,0,0
2020-09-29,000596,217.9,217.9,211.5,212.0,15971,340677280.0,-4.93,-2.272622504955516,,,,,,,,,1,7,1,4,2,0,3,1
2020-09-30,000596,212.8,219.0,211.8,216.78,20415,441949760.0,4.78,2.254716981132076,,,,,,,,,0,5,5,0,0,1,0,0
2020-10-09,000596,218.0,222.0,216.18,220.85,15967,351054560.0,4.07,1.87747947227604,,,,,,,,,1,6,3,3,0,2,2,0
2020-10-12,000596,221.99,230.0,221.01,229.75,27650,629458560.0,8.9,4.029884537016074,,,,,,,,,2,28,22,2,4,1,2,0
2020-10-13,000596,230.9,230.9,224.77,225.61,24937,564475456.0,-4.14,-1.8019586507072904,0,1,0,1,0,0,1,0,0,18,13,0,5,0,0,0
2020-10-14,000596,226.53,229.8,222.18,222.99,20229,456046176.0,-2.62,-1.161296041842117,0,2,0,2,0,0,2,0,0,3,2,1,0,0,0,0
2020-10-15,000596,221.14,222.84,218.59,219.0,15999,351728672.0,-3.99,-1.7893179066325842,,,,,,,,,0,2,1,1,0,0,0,0
2020-10-16,000596,217.98,219.9,210.0,210.7,25450,542035520.0,-8.3,-3.7899543378995433,,,,,,,,,1,1,0,0,1,0,0,0
2020-10-19,000596,211.1,213.2,204.95,206.94,18236,379335808.0,-3.76,-1.78452776459421,,,,,,,,,,,,,,,,
2020-10-20,000596,206.95,211.17,204.1,211.17,24524,510032448.0,4.23,2.04407074514352,,,,,,,,,0,1,0,1,0,0,1,0
2020-10-21,000596,211.2,212.7,206.12,209.3,19618,409199168.0,-1.87,-0.885542453947057,0,3,1,2,0,1,1,0,0,5,3,0,2,1,0,0
2020-10-22,000596,206.99,213.4,205.11,210.46,23329,487655968.0,1.16,0.5542283803153368,,,,,,,,,0,8,5,0,3,0,0,1
2020-10-23,000596,210.46,211.99,204.5,207.13,17669,365893824.0,-3.33,-1.5822484082485984,0,1,0,1,0,0,1,0,0,4,0,4,0,0,1,0
2020-10-26,000596,203.0,205.78,196.46,203.76,14525,293846336.0,-3.37,-1.6269975377782069,,,,,,,,,0,1,0,1,0,0,1,0
2020-10-27,000596,203.76,211.1,202.0,209.86,23301,481967872.0,6.1,2.9937180997251667,,,,,,,,,1,2,0,1,1,0,1,0
2020-10-28,000596,209.41,230.61,208.0,229.6,53316,1187426432.0,19.74,9.406270847231488,0,1,1,0,0,1,0,0,19,41,25,3,13,5,2,2
2020-10-29,000596,227.0,232.86,224.2,227.36,55845,1279785728.0,-2.24,-0.975609756097561,0,1,0,0,1,0,0,0,4,37,20,4,13,3,0,3
2020-10-30,000596,229.0,229.19,209.0,210.2,47444,1017311680.0,-17.16,-7.54750175932442,,,,,,,,,1,1,0,0,1,0,0,0
2020-11-02,000596,209.96,214.6,209.0,212.39,18876,400439104.0,2.19,1.0418648905803998,0,1,1,0,0,0,0,0,0,7,4,0,3,0,0,0
2020-11-03,000596,212.0,213.3,208.1,211.69,17202,362509248.0,-0.7,-0.3295823720514149,0,1,0,1,0,0,1,0,0,6,1,2,3,0,0,0
2020-11-04,000596,211.69,213.46,209.0,211.31,16035,338584032.0,-0.38,-0.17950777079692,,,,,,,,,0,1,0,0,1,0,0,0
2020-11-05,000596,212.01,228.39,211.99,224.98,41605,923510208.0,13.67,6.469168520183617,0,1,0,0,1,0,0,0,1,12,10,1,1,0,0,0
2020-11-06,000596,225.55,227.66,217.2,222.5,30970,681937216.0,-2.48,-1.1023202062405546,,,,,,,,,1,5,1,2,2,0,1,0
2020-11-09,000596,222.88,226.55,220.5,225.1,28175,631692608.0,2.6,1.1685393258426966,0,1,0,1,0,0,0,0,1,3,2,0,1,1,0,0
2020-11-10,000596,224.0,240.0,222.4,235.95,44951,1048945600.0,10.85,4.82007996446024,0,1,1,0,0,1,0,0,0,5,4,0,1,0,0,0
2020-11-11,000596,235.5,247.1,233.03,235.08,47834,1147513088.0,-0.87,-0.3687221869040051,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
2020-11-12,000596,231.0,241.61,227.97,239.21,28344,672425024.0,4.13,1.7568487323464352,0,1,1,0,0,1,0,0,0,8,2,0,6,0,0,1
2020-11-13,000596,235.0,235.0,221.0,228.35,33107,751715008.0,-10.86,-4.5399439822749885,0,1,0,1,0,0,0,0,8,16,13,0,4,2,0,1
2020-11-16,000596,228.0,232.19,222.52,231.97,36285,827861184.0,3.62,1.585285745566017,,,,,,,,,19,21,6,9,7,2,0,0
2020-11-17,000596,229.96,233.58,222.82,226.01,31389,719088128.0,-5.96,-2.569297754019916,0,1,0,1,0,0,1,0,18,22,9,3,10,0,0,0
2020-11-18,000596,223.68,226.8,215.01,218.38,29945,656554560.0,-7.63,-3.375956816070085,,,,,,,,,6,12,8,0,5,0,0,0
2020-11-19,000596,218.0,222.18,213.83,218.3,16660,363553504.0,-0.08,-0.0366333913362029,,,,,,,,,1,2,2,0,0,1,0,0
2020-11-20,000596,216.97,221.99,216.22,218.94,19170,420099200.0,0.64,0.293174530462666,,,,,,,,,0,5,3,0,2,0,0,1
2020-11-23,000596,218.94,223.7,215.8,218.76,26385,577147712.0,-0.18,-0.0822143052891203,1,1,0,1,0,0,1,0,0,2,1,0,1,0,0,1
2020-11-24,000596,216.09,217.74,212.0,215.2,29271,625699456.0,-3.56,-1.6273541780947156,,,,,,,,,3,3,0,0,3,0,0,1
2020-11-25,000596,216.12,216.48,209.0,211.35,25005,528046560.0,-3.85,-1.7890334572490705,,,,,,,,,4,7,0,1,6,0,0,0
2020-11-26,000596,208.88,213.5,208.1,213.05,23177,490360576.0,1.7,0.8043529690087533,,,,,,,,,,,,,,,,
2020-11-27,000596,213.06,214.79,210.7,213.8,18162,387823680.0,0.75,0.3520300398967378,0,1,0,1,0,0,1,0,,,,,,,,
2020-11-30,000596,213.8,214.63,206.88,211.2,24411,512217728.0,-2.6,-1.216089803554724,,,,,,,,,3,3,0,3,0,0,0,0
2020-12-01,000596,211.2,215.93,210.08,214.55,18944,405727584.0,3.35,1.5861742424242424,0,1,0,1,0,0,1,0,2,2,1,2,0,1,1,0
2020-12-02,000596,214.55,215.3,212.56,213.98,14737,315030080.0,-0.57,-0.2656723374504777,,,,,,,,,5,5,0,0,5,0,0,0
2020-12-03,000596,214.1,222.7,212.5,222.65,30782,673966464.0,8.67,4.051780540237406,,,,,,,,,0,4,0,3,1,0,0,0
2020-12-04,000596,221.21,229.0,221.21,226.0,30476,690784640.0,3.35,1.504603637996856,,,,,,,,,0,2,0,1,1,0,0,0
2020-12-07,000596,225.2,230.66,224.31,228.91,29400,672399168.0,2.91,1.2876106194690269,0,1,0,1,0,0,1,0,0,15,9,4,2,0,0,1
2020-12-08,000596,227.0,230.8,224.35,229.01,32023,732005760.0,0.1,0.0436852911624656,0,1,0,0,1,0,0,0,1,7,6,1,0,1,1,0
2020-12-09,000596,229.49,230.61,222.3,226.04,24643,557543104.0,-2.97,-1.2968865988384786,0,1,0,1,0,0,1,0,0,8,6,1,1,2,1,0
2020-12-10,000596,224.99,231.5,224.01,229.61,26753,613682688.0,3.57,1.5793664838081756,0,1,0,1,0,0,0,0,1,2,0,1,1,0,0,1
2020-12-11,000596,229.63,239.26,229.63,237.0,32951,778309376.0,7.39,3.218500936370367,0,2,2,0,0,2,0,0,0,4,2,0,2,0,0,0
2020-12-14,000596,242.01,260.7,239.37,259.2,58504,1473487232.0,22.2,9.367088607594935,,,,,,,,,7,10,6,4,1,2,1,1
2020-12-15,000596,260.0,264.75,253.0,258.11,41973,1087752448.0,-1.09,-0.4205246913580247,0,2,0,1,1,0,1,1,2,3,1,2,0,1,2,0
2020-12-16,000596,258.92,271.89,257.0,264.48,43743,1156875520.0,6.37,2.4679400255704933,0,1,0,1,0,0,1,0,2,10,8,0,2,3,0,1
2020-12-17,000596,265.0,270.0,258.9,265.21,33565,889853760.0,0.73,0.2760133091349062,,,,,,,,,0,1,0,1,0,0,0,0
2020-12-18,000596,266.01,270.07,263.0,268.3,29648,792848960.0,3.09,1.1651144376154745,0,1,0,1,0,0,1,0,0,2,1,0,1,0,0,0
2020-12-21,000596,265.0,269.26,262.55,266.5,24551,652636352.0,-1.8,-0.6708907938874394,,,,,,,,,1,8,6,0,2,3,0,1
2020-12-22,000596,266.0,274.89,264.4,269.6,29360,794984640.0,3.1,1.1632270168855536,,,,,,,,,0,9,9,0,0,1,0,0
2020-12-23,000596,269.6,283.01,263.5,270.98,41966,1148116352.0,1.38,0.5118694362017804,0,3,2,1,0,1,1,0,3,23,9,4,10,4,1,1
2020-12-24,000596,267.0,282.08,260.01,272.23,31007,850942016.0,1.25,0.4612886559893719,0,1,0,1,0,0,0,0,0,10,0,3,7,0,0,0
2020-12-25,000596,264.5,276.0,255.5,272.7,34004,903338496.0,0.47,0.1726481284208206,0,1,1,0,0,0,0,0,0,21,3,2,16,1,0,1
2020-12-28,000596,276.0,283.38,274.69,278.5,35376,988156736.0,5.8,2.126879354602127,,,,,,,,,0,17,9,2,6,0,2,1
2020-12-29,000596,276.99,277.05,268.01,273.6,23345,637034560.0,-4.9,-1.7594254937163374,0,2,0,2,0,0,1,0,0,23,6,13,4,1,0,1
2020-12-30,000596,273.33,277.4,270.0,273.0,23202,635094080.0,-0.6,-0.219298245614035,,,,,,,,,11,15,3,7,5,0,1,2
2020-12-31,000596,275.64,279.63,265.8,272.0,36970,1003092672.0,-1.0,-0.3663003663003663,0,1,0,1,0,0,1,0,6,13,2,7,4,0,1,0
2021-01-04,000596,270.8,284.64,267.0,279.66,41598,1156936064.0,7.66,2.816176470588235,,,,,,,,,,,,,,,,
2021-01-05,000596,276.1,295.0,273.0,291.99,39682,1142454784.0,12.33,4.408925123364085,0,1,1,0,0,1,0,0,,,,,,,,
2021-01-06,000596,292.0,295.0,278.88,285.5,34602,990245376.0,-6.49,-2.222678858865029,,,,,,,,,,,,,,,,
2021-01-07,000596,285.0,285.85,276.6,285.5,28542,802578880.0,0.0,0.0,0,1,0,0,1,0,0,0,,,,,,,,
2021-01-08,000596,285.8,288.96,267.0,271.77,39909,1094142848.0,-13.73,-4.809106830122592,,,,,,,,,,,,,,,,
2021-01-11,000596,270.0,270.0,250.28,252.17,56319,1448766976.0,-19.6,-7.211980718990323,0,1,0,1,0,0,1,0,,,,,,,,
2021-01-12,000596,247.7,257.2,244.78,254.95,38790,978323328.0,2.78,1.1024308997898242,,,,,,,,,,,,,,,,
2021-01-13,000596,254.85,257.89,246.3,249.7,31772,798317440.0,-5.25,-2.0592272994704843,0,1,0,1,0,0,1,0,,,,,,,,
2021-01-14,000596,248.25,248.6,238.68,239.5,31671,765781056.0,-10.2,-4.08490188225871,,,,,,,,,,,,,,,,
2021-01-15,000596,237.5,240.5,225.01,236.0,44537,1033094656.0,-3.5,-1.4613778705636742,0,3,1,2,0,0,0,0,0,1,0,0,1,0,0,1
2021-01-18,000596,238.98,238.98,228.94,233.3,27388,637452224.0,-2.7,-1.1440677966101696,,,,,,,,,,,,,,,,
2021-01-19,000596,235.1,239.85,221.36,223.5,37024,846793344.0,-9.8,-4.200600085726532,0,1,1,0,0,0,0,0,,,,,,,,
2021-01-20,000596,223.48,229.0,216.7,227.79,31291,704099776.0,4.29,1.9194630872483225,0,2,1,1,0,0,1,0,,,,,,,,
2021-01-21,000596,227.0,233.88,226.23,230.81,32198,740550272.0,3.02,1.325782518986786,1,1,1,0,0,1,0,0,,,,,,,,
2021-01-22,000596,230.87,235.78,229.32,232.99,23285,540303744.0,2.18,0.944499805034444,0,2,1,0,1,1,0,1,,,,,,,,
2021-01-25,000596,232.95,256.29,230.9,256.29,48018,1206368896.0,23.3,10.000429202970086,0,1,0,0,1,0,0,0,,,,,,,,
2021-01-26,000596,260.0,263.18,247.0,248.09,38763,976171072.0,-8.2,-3.199500565765344,0,5,2,0,3,1,0,1,,,,,,,,
