Date,secucode,open,high,low,close,volume,amount,change,change_ratio
2020-12-31,603392,192.08,203.5,192.06,201.53,12169,241495664,7.68,3.961826154242972
2021-01-04,603392,204.87,221.68,204.0,221.0,22617,488105920,19.47,9.6610926412941
2021-01-05,603392,221.75,236.96,218.08,233.0,28805,664447296,12.0,5.429864253393665
2021-01-06,603392,235.0,256.3,233.55,256.3,30332,744824192,23.3,10.0
2021-01-07,603392,252.93,252.93,235.36,246.0,29126,706090752,-10.3,-4.0187280530628176
2021-01-08,603392,246.06,262.79,246.06,253.4,18203,465541216,7.4,3.008130081300813
2021-01-11,603392,253.0,265.0,242.41,255.5,20110,516079520,2.1,0.8287292817679558
2021-01-12,603392,256.0,281.05,256.0,281.05,28843,793660352,25.55,10.0
2021-01-13,603392,282.0,293.8,270.01,287.8,27995,788766272,6.75,2.401707881159936
2021-01-14,603392,289.99,290.0,260.0,260.0,24335,655968768,-27.8,-9.659485753995831
2021-01-15,603392,258.0,259.21,239.2,246.04,23721,588111040,-13.96,-5.369230769230769
2021-01-18,603392,246.04,270.64,245.0,270.64,21851,575142400,24.6,9.998374248089744
2021-01-19,603392,274.18,283.0,267.99,274.57,19957,550246848,3.93,1.452113508720071
2021-01-20,603392,275.01,292.8,260.06,290.18,25667,715716544,15.61,5.6852533051680805
2021-01-21,603392,293.95,309.0,290.36,308.69,23704,712008832,18.51,6.378799365910814
2021-01-22,603392,303.9,318.1,296.11,315.0,19266,591977024,6.31,2.0441219346269723
2021-01-25,603392,315.0,322.15,300.0,313.13,20325,629417216,-1.87,-0.5936507936507937
2021-01-26,603392,304.08,312.16,295.11,305.1,11395,346376288,-8.03,-2.5644301089004564
2021-01-27,603392,304.5,325.99,303.0,320.59,17347,547659456,15.49,5.077023926581449
2021-01-28,603392,310.0,325.82,307.59,313.8,13762,436469504,-6.79,-2.117969992825728
2021-01-29,603392,316.0,341.88,316.0,324.0,23037,759651840,10.2,3.250478011472276
2021-02-01,603392,325.0,338.98,314.21,331.98,16505,541836096,7.98,2.462962962962963
2021-02-02,603392,333.0,335.43,318.98,320.71,17175,558351296,-11.27,-3.3947828182420627
2021-02-03,603392,319.0,325.0,306.07,318.19,17402,548095232,-2.52,-0.7857566025381185
2021-02-04,603392,314.0,321.0,303.5,308.3,13979,434430304,-9.89,-3.108205788993997
2021-02-05,603392,308.39,329.9,308.0,310.0,17423,553418368,1.7,0.5514109633473889
2021-02-08,603392,308.07,325.0,300.13,315.0,15240,478673280,5.0,1.6129032258064515
2021-02-09,603392,320.18,324.98,316.0,318.12,11858,379117536,3.12,0.9904761904761904
2021-02-10,603392,318.18,344.0,313.0,337.53,19930,658163008,19.41,6.101471142964919
